1	0,000000E+0	8.79E+03	-9.77E-02
2	1.00E+04	4.93E+05	2.32E+01
3	2.00E+04	5.17E+05	2.30E+01
4	3.00E+04	5.07E+05	2.31E+01
5	4.00E+04	4.95E+05	2.32E+01
6	5.00E+04	5.19E+05	2.30E+01
7	6.00E+04	5.01E+05	2.32E+01
8	7.00E+04	4.99E+05	2.33E+01
9	8.00E+04	5.05E+05	2.30E+01
10	9.00E+04	5.17E+05	2.32E+01
11	1.00E+05	4.91E+05	2.31E+01
12	1.10E+05	5.01E+05	2.32E+01
13	1.20E+05	5.15E+05	2.32E+01
14	1.30E+05	5.13E+05	2.32E+01
15	1.40E+05	5.01E+05	2.32E+01
16	1.50E+05	4.95E+05	2.33E+01
17	1.60E+05	5.03E+05	2.32E+01
18	1.70E+05	5.17E+05	2.32E+01
19	1.80E+05	4.95E+05	2.34E+01
20	1.90E+05	5.13E+05	2.32E+01
21	2.00E+05	5.07E+05	2.33E+01
22	2.10E+05	5.07E+05	2.30E+01
23	2.20E+05	5.03E+05	2.33E+01
24	2.30E+05	5.17E+05	2.30E+01
25	2.40E+05	5.05E+05	2.32E+01
26	2.50E+05	5.17E+05	2.31E+01
27	2.60E+05	4.89E+05	2.33E+01
28	2.70E+05	5.05E+05	2.32E+01
29	2.80E+05	5.05E+05	2.32E+01
30	2.90E+05	5.26E+05	2.33E+01
31	3.00E+05	4.91E+05	2.34E+01
32	3.10E+05	4.95E+05	2.33E+01
33	3.20E+05	5.13E+05	2.32E+01
34	3.30E+05	5.09E+05	2.31E+01
35	3.40E+05	4.95E+05	2.33E+01
36	3.50E+05	5.03E+05	2.34E+01
37	3.60E+05	5.11E+05	2.32E+01
38	3.70E+05	4.93E+05	2.33E+01
39	3.80E+05	4.99E+05	2.35E+01
40	3.90E+05	5.11E+05	2.32E+01
41	4.00E+05	4.97E+05	2.33E+01
42	4.10E+05	5.01E+05	2.33E+01
43	4.20E+05	5.11E+05	2.32E+01
44	4.30E+05	4.93E+05	2.33E+01
45	4.40E+05	5.03E+05	2.32E+01
46	4.50E+05	5.07E+05	2.33E+01
47	4.60E+05	5.09E+05	2.32E+01
48	4.70E+05	5.09E+05	2.33E+01
49	4.80E+05	5.09E+05	2.32E+01
