114	1.12E+07	-2.88E+05	-7.25E+00
115	1.13E+07	-2.69E+05	-7.05E+00
116	1.14E+07	-2.73E+05	-6.66E+00
117	1.15E+07	-2.59E+05	-6.31E+00
118	1.16E+07	-2.47E+05	-6.08E+00
119	1.17E+07	-2.26E+05	-5.68E+00
120	1.18E+07	-2.30E+05	-5.18E+00
121	1.19E+07	-2.22E+05	-5.14E+00
122	1.20E+07	-2.08E+05	-4.75E+00
123	1.21E+07	-2.02E+05	-4.40E+00
124	1.22E+07	-1.83E+05	-4.28E+00
125	1.23E+07	-1.79E+05	-3.97E+00
126	1.24E+07	-1.75E+05	-3.73E+00
127	1.25E+07	-1.61E+05	-3.65E+00
128	1.26E+07	-1.53E+05	-3.38E+00
129	1.27E+07	-1.46E+05	-3.11E+00
130	1.28E+07	-1.20E+05	-2.79E+00
131	1.29E+07	-1.18E+05	-2.83E+00
132	1.30E+07	-1.08E+05	-2.48E+00
133	1.31E+07	-9.28E+04	-2.21E+00
134	1.32E+07	-8.89E+04	-1.93E+00
135	1.33E+07	-8.11E+04	-1.62E+00
136	1.34E+07	-6.94E+04	-1.31E+00
137	1.35E+07	-5.18E+04	-1.07E+00
138	1.36E+07	-4.98E+04	-9.57E-01
139	1.37E+07	-3.42E+04	-5.67E-01
140	1.38E+07	-2.64E+04	-4.10E-01
141	1.39E+07	-6.84E+03	-1.76E-01
142	1.40E+07	4.88E+03	1.76E-01
143	1.41E+07	3.22E+04	1.95E-02
144	1.42E+07	1.66E+04	4.88E-01
145	1.43E+07	4.20E+04	6.06E-01
146	1.44E+07	3.22E+04	9.18E-01
147	1.45E+07	5.96E+04	1.19E+00
148	1.46E+07	5.37E+04	1.58E+00
149	1.47E+07	6.94E+04	1.89E+00
150	1.48E+07	7.52E+04	1.97E+00
151	1.49E+07	9.47E+04	2.13E+00
152	1.49E+07	9.87E+04	2.40E+00
153	1.50E+07	1.05E+05	2.52E+00
154	1.51E+07	1.10E+05	2.72E+00
155	1.52E+07	1.18E+05	3.07E+00
156	1.53E+07	1.42E+05	3.30E+00
157	1.54E+07	1.49E+05	3.50E+00
158	1.55E+07	1.57E+05	3.81E+00
159	1.56E+07	1.71E+05	4.00E+00
160	1.57E+07	1.73E+05	4.32E+00
161	1.58E+07	1.89E+05	4.40E+00
162	1.59E+07	1.94E+05	4.79E+00
163	1.60E+07	2.10E+05	5.02E+00
164	1.61E+07	2.35E+05	5.41E+00
165	1.62E+07	2.33E+05	5.68E+00
166	1.63E+07	2.43E+05	6.04E+00
167	1.64E+07	2.43E+05	6.47E+00
168	1.65E+07	2.51E+05	6.58E+00
169	1.66E+07	2.67E+05	7.05E+00
